"ID" "CustomerID" "ReceivedAt" "DeviceReportedTime" "Facility" "Priority" "FromHost" "Message" "NTSeverity" "Importance" "EventSource" "EventUser" "EventCategory" "EventID" "EventBinaryData" "MaxAvailable" "CurrUsage" "MinUsage" "MaxUsage" "InfoUnitID" "SysLogTag" "EventLogType" "GenericFileName" "SystemID" "processid" "checksum"
"23" 49841360 NA "2015-12-09 00:00:15" "2015-12-09 00:01:17" 20 4 "ce005" " 00:01:17.168 10642 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 899" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"24" 49841361 NA "2015-12-09 00:00:15" "2015-12-09 00:01:17" 20 4 "ce005" " 00:01:17.168 10642 AUDIT nova.compute.resource_tracker [-] Free VCPUS: 8" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"25" 49841364 NA "2015-12-09 00:00:17" "2015-12-09 00:00:11" 20 4 "KR-06" " 00:00:11.298 6279 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"26" 49841365 NA "2015-12-09 00:00:18" "2015-12-09 00:00:11" 20 4 "KR-06" " 00:00:11.974 6279 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 112566" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"27" 49841366 NA "2015-12-09 00:00:18" "2015-12-09 00:00:11" 20 4 "KR-06" " 00:00:11.975 6279 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 1428" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"28" 49841367 NA "2015-12-09 00:00:18" "2015-12-09 00:00:11" 20 4 "KR-06" " 00:00:11.975 6279 AUDIT nova.compute.resource_tracker [-] Free VCPUS: -12" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"29" 49841373 NA "2015-12-09 00:00:20" "2015-12-09 00:00:22" 20 4 "ce012" " 00:00:22.807 13241 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"30" 49841374 NA "2015-12-09 00:00:20" "2015-12-09 00:00:23" 20 4 "ce012" " 00:00:23.014 13241 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 23508" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"31" 49841375 NA "2015-12-09 00:00:20" "2015-12-09 00:00:23" 20 4 "ce012" " 00:00:23.014 13241 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 915" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"32" 49841376 NA "2015-12-09 00:00:20" "2015-12-09 00:00:23" 20 4 "ce012" " 00:00:23.015 13241 AUDIT nova.compute.resource_tracker [-] Free VCPUS: 8" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
